titulo,Cidade,salario,descricao
Desenvolvedor Web,Ponta Grossa,,"Gosta de desafios, inovação e metas ousadas? É apaixonado por tecnologia, negócios e quer uma oportunidade para decolar sua carreira? Então, essa vaga deve ser sua! Somos uma startup da KMM em fase inicial atuando no setor de logística com uma estratégia agressiva para revolucionarmos o mercado das PMEs (Pequenas e Médias) transportadoras. Pensar grande (afinal, temos de que ganhar escala), visão de negócio, resolução de problemas, boa comunicação. Conhecimento de SQL, Javascript, HTML, CSS 3. Experiência com tecnologias WEB ou mobile. Diferenciais: ReactJS, Oracle PL/"
Desenvolvedor PHP,Curitiba,,"Participação em um projeto estratégico da empresa, Desenvolvimento de novas funcionalidades do Plano (Core, CEPP, API, Auth, Mobile) após finalizaçãoPHP Storm, Linux básico, Apache 2."
Desenvolvedor Front-end,Maringa,,Você atuará na análise e desenvolvimento de Front-end em projetos para clientes internos e externos.
Desenvolvedor Full Stack,São Paulo,,Irá atuar com Tech Stack: - Node.
Desenvolvedor De Software - Front End,Jaragua do Sul,,"Desenvolvimento de protótipos e sistemas de inovação baseados em Big Data e Inteligência Artificial, sendo responsável pelo desenvolvimento das interfaces de usuário (WEB e Mobile); Desenvolver pesquisas relacionadas a ferramentas e técnicas de design de interfaces de usuário, replicando o conhecimento adquirido para as equipes de desenvolvimento de software."
Desenvolvedor Front-end Sênior,São Paulo,,"Tecnologias obrigatórias: Jquery, JavaScript, Css, Bootstrap, ASP."
Desenvolvedor.Net,Botucatu,,"Analisar e desenvolver soluções web, webservices e mobile (SPA-Single Page Application)."
Desenvolvedor Técnico .NET,São Paulo,,Será responsável por .
Desenvolvedor ANGULAR,Rio de Janeiro,,Conhecimentos: AngularJS Angular 2+ HTML 5 CSS 3 JavaScript CSS Integração com APIs REST/
Desenvolvedor de Aplicações Web,São Caetano do Sul,,"Atuará com EM,"
Desenvolvedor Full Stack,São Paulo,,"Desenvolvimento e manutenção Back e Front-end, Desenvolvimento de sites responsivos,"
Desenvolvedor Java,São Bernardo do Campo,,Programa e desenvolve e implanta sistemas em linguagem Java.
Desenvolvedor Web Asp.NET,Campinas,,"Atuar como programador de sistemas Web com foco em C#, ASP."
Desenvolvedor Front-end Sênior,São Paulo,,"Responsável por criar a interface de utilização de um site ou aplicação web. A camada visual das aplicações web, na qual os usuários interagem."
Desenvolvedor Full Stack,Florianopolis,,Desenvolver e manter aplicações internas em PHP e Javascript;
Desenvolvedor C# Pleno,Campo Grande,,"Atuar numa equipe ágil, focada no segmento Govtech, utilizando metodologias ágeis scrum ou kanban e que tem alto desempenho, engajamento e comprometimento. Utilizando-se de tecnologias, arquitetura e linguagens de software atualizadas, nosso desafio é desenvolver e entregar uma solução para gestão de obras, proporcionando ao nosso cliente excelente experiência de uso e trazendo soluções para transformar, impulsionar e otimizar a gestão. Nossos squads são formados por desenvolvedores backend, Front end, fullstack e QA. Conhecimentos na IDE Visual Studio 2015 e nas tecnologias C#, WebForms, MVC, Windows Forms, Javascript, jQuery, HTML, CSS, Bootstrap. Conhecimentos em linguagem SQL para trabalhar com SGBD Oracle 11 (Criação de tabelas, procedures, packages, queries, triggers, views, etc."
Desenvolvedor PHP,Barueri,,Desenvolvimento PHP (1 vaga para Front-end e 1 vaga para Back-end). Efetuar interface com diversas áreas para levantar informações.
Desenvolvedor .NET Pleno,Rio de Janeiro,,Atuação na equipe de desenvolvimento de soluções de Software utilizando tecnologia .
